物品,使用次数,胜率,KDA (K / D / A),金钱/分钟,经验/分钟
" 
					 	邪恶镰刀 ",4,50.0%,2.26   (5.8 / 8.8 / 14.0),483,521
" 
					 	闪烁匕首 ",5,40.0%,1.84   (4.4 / 8.6 / 11.4),436,429
" 
					 	魔棒 ",1,0.0%,1.29   (3.0 / 7.0 / 6.0),338,307
" 
					 	魔杖 ",2,100.0%,1.47   (4.5 / 9.5 / 9.5),538,533
" 
					 	铁意头盔 ",1,0.0%,0.82   (2.0 / 11.0 / 7.0),364,327
" 
					 	卫士胫甲 ",4,50.0%,2.19   (5.0 / 8.0 / 12.5),454,454
" 
					 	板甲 ",1,0.0%,5.50   (8.0 / 6.0 / 25.0),402,444
" 
					 	静谧之鞋 ",1,0.0%,1.80   (6.0 / 10.0 / 12.0),454,572
" 
					 	达贡之神力 ",1,0.0%,1.80   (6.0 / 10.0 / 12.0),454,572
" 
					 	赤红甲 ",1,100.0%,6.00   (2.0 / 0.0 / 4.0),532,410
" 
					 	回城卷轴 ",3,33.3%,0.90   (1.3 / 6.7 / 4.7),397,326
" 
					 	梅肯斯姆 ",2,0.0%,0.60   (1.0 / 10.0 / 5.0),330,285
" 
					 	弗拉迪米尔的祭品 ",1,100.0%,6.00   (2.0 / 0.0 / 4.0),532,410
" 
					 	灵魂之戒 ",7,42.9%,1.69   (3.4 / 7.4 / 9.1),429,399
" 
					 	奥术鞋 ",3,33.3%,0.90   (1.3 / 6.7 / 4.7),397,326
" 
					 	圆盾 ",2,50.0%,0.80   (3.0 / 12.5 / 7.0),401,376
" 
					 	洞察烟斗 ",1,100.0%,6.00   (2.0 / 0.0 / 4.0),532,410
" 
					 	迈达斯之手 ",1,0.0%,1.80   (6.0 / 10.0 / 12.0),454,572
" 
					 	幽魂权杖 ",1,0.0%,1.80   (6.0 / 10.0 / 12.0),454,572
